name,position,team,GW,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,bonus,goals_conceded,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,team_standing,sched_strength,5_gw_fpl_pts
Brenden Aaronson,MID,Leeds,5,82.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.4,14.333333333333334,3.3333333333333335
Brennan Johnson,FWD,Nott'm Forest,5,83.4,0.2,0.0,0.2,0.0,0.0,0.0,0.6,1.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.75,3.25
Brice Samba,GK,Nott'm Forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.75,0.0
Bruno Borges Fernandes,MID,Man Utd,5,89.8,0.2,0.0,0.4,0.0,0.0,0.0,0.0,1.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,3.3333333333333335
Bruno Guimarães Rodriguez Moura,MID,Newcastle,5,54.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.4,12.0,5.25
Bryan Gil Salvatierra,MID,Spurs,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,8.25,0.0
Bryan Mbeumo,FWD,Brentford,5,79.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.0,3.5
Bukayo Saka,MID,Arsenal,5,87.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,6.25,8.25
Callum Hudson-Odoi,MID,Chelsea,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,15.0,0.0
Callum Wilson,FWD,Newcastle,5,48.8,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,12.0,2.75
Calum Chambers,DEF,Aston Villa,5,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.25,0.0
Calvin Ramsay,DEF,Liverpool,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,7.333333333333333,0.0
Cameron Archer,FWD,Aston Villa,5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.25,0.25
Caoimhin Kelleher,GK,Liverpool,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,7.333333333333333,0.0
Carlos Henrique Casimiro,MID,Man Utd,5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,2.3333333333333335
